Veicolo;Targa;Data (UTC+01:00);Tipo;Partenza;Poi Partenza;Ora (UTC+01:00);Arrivo;Poi Arrivo;Ora (UTC+01:00);km;Guida (minuti);Vel. media (km/h);Sosta motore spento (minuti);Totale sosta acceso (minuti);Vel. massima (km/h);Lat partenza;Lon partenza;Lat arrivo;Lon arrivo
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:36:26;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:42:49;0,5;6;1,0;;;6;43.238528;13.389432;43.238327;13.38943
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;15:42:49;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:52:48;0,0;;0,0;9;0;0;43.238327;13.38943;43.238206;13.389474
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:52:48;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:56:13;0,1;3;1,0;;;5;43.238206;13.389474;43.2383;13.389449
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;15:56:13;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;16:15:04;0,0;;0,0;18;0;0;43.2383;13.389449;43.238415;13.389515
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;16:15:04;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;16:19:42;0,2;4;1,0;;;5;43.238415;13.389515;43.238256;13.389422
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;16:19:42;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;16:30:37;0,0;;0,0;10;0;0;43.238256;13.389422;43.238303;13.389468
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;16:30:37;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;16:33:28;0,3;2;2,0;;;11;43.238303;13.389468;43.238303;13.389376
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;16:33:28;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;16:55:44;0,0;;0,0;22;0;0;43.238303;13.389376;43.238543;13.389133
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;16:55:44;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;16:58:46;0,0;3;0,0;;;0;43.238543;13.389133;43.23824;13.389492
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;16:58:46;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;17:17:12;0,0;;0,0;18;0;0;43.23824;13.389492;43.238134;13.389541
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;17:17:12;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;17:26:55;0,2;9;0,0;;;3;43.238134;13.389541;43.238215;13.389442
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;17:26:55;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:12:59;0,0;;0,0;46;0;0;43.238215;13.389442;43.238215;13.389442
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:12:59;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:15:57;0,0;2;1,0;;;7;43.238215;13.389442;43.238428;13.389696
NZHE15562;NZHE15562;2024-02-09;INACTIVITY;Inattività;;18:15:57;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;23:59:59;0,0;;0,0;;;0;43.238428;13.389696;43.238428;13.389696
NZHE15562;NZHE15562;2024-02-09;Totale;;;;;;;14,0;642;1,0;452;0;12;;;;
NZHE15562;NZHE15562;2024-02-10;INACTIVITY;Inattività;;00:00:00;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:12:50;0,0;;0,0;;;0;43.238428;13.389696;43.238183;13.389465
NZHE15562;NZHE15562;2024-02-10;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:12:50;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:21:27;0,0;8;0,0;;;0;43.238183;13.389465;43.23832;13.389322
NZHE15562;NZHE15562;2024-02-10;PARK_ENGINE_OFF;Sosta a motore spento;;06:21:27;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:42:52;0,0;;0,0;21;0;0;43.23832;13.389322;43.238296;13.389358
NZHE15562;NZHE15562;2024-02-10;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:42:52;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:47:02;0,3;4;1,0;;;9;43.238296;13.389358;43.238268;13.389556
NZHE15562;NZHE15562;2024-02-10;PARK_ENGINE_OFF;Sosta a motore spento;;06:47:02;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;07:52:36;0,0;;0,0;65;0;0;43.238268;13.389556;43.238247;13.38939
NZHE15562;NZHE15562;2024-02-10;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;07:52:36;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;08:34:53;3,6;42;1,0;;;63;43.238247;13.38939;43.238207;13.38937
NZHE15562;NZHE15562;2024-02-10;PARK_ENGINE_OFF;Sosta a motore spento;;08:34:53;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;08:52:59;0,0;;0,0;18;0;0;43.238207;13.38937;43.238167;13.389395
NZHE15562;NZHE15562;2024-02-10;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;08:52:59;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;09:02:09;0,2;9;1,0;;;7;43.238167;13.389395;43.238284;13.38954
NZHE15562;NZHE15562;2024-02-10;PARK_ENGINE_OFF;Sosta a motore spento;;09:02:09;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;10:02:04;0,0;;0,0;59;0;0;43.238284;13.38954;43.238145;13.389511
NZHE15562;NZHE15562;2024-02-10;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;10:02:04;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;10:10:36;0,4;8;1,0;;;6;43.238145;13.389511;43.23831;13.389436
NZHE15562;NZHE15562;2024-02-10;PARK_ENGINE_OFF;Sosta a motore spento;;10:10:36;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;10:45:28;0,0;;0,0;34;0;0;43.23831;13.389436;43.238168;13.389495
NZHE15562;NZHE15562;2024-02-10;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;10:45:28;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;12:42:48;0,5;117;0,0;;;20;43.238168;13.389495;43.238335;13.389529
NZHE15562;NZHE15562;2024-02-10;PARK_ENGINE_OFF;Sosta a motore spento;;12:42:48;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;14:15:28;0,0;;0,0;92;0;0;43.238335;13.389529;43.238324;13.389489
NZHE15562;NZHE15562;2024-02-10;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;14:15:28;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:14:04;0,9;58;0,0;;;14;43.238324;13.389489;43.238228;13.389454
NZHE15562;NZHE15562;2024-02-10;INACTIVITY;Inattività;;15:14:04;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;23:59:59;0,0;;0,0;;;0;43.238228;13.389454;43.238228;13.389454
NZHE15562;NZHE15562;2024-02-10;Totale;;;;;;;5,9;248;0,0;292;0;63;;;;
NZHE15562;NZHE15562;2024-02-11;INACTIVITY;Inattività;;00:00:00;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;23:59:59;0,0;;0,0;;;0;43.238228;13.389454;43.238228;13.389454
NZHE15562;NZHE15562;2024-02-11;Totale;;;;;;;0,0;0;0,0;0;0;0;;;;
NZHE15562;NZHE15562;2024-02-11;Totale periodo;;;;;;;58,1;4153;0,0;2264;0;68;;;;
