Veicolo;Targa;Data (UTC+01:00);Tipo;Partenza;Poi Partenza;Ora (UTC+01:00);Arrivo;Poi Arrivo;Ora (UTC+01:00);km;Guida (minuti);Vel. media (km/h);Sosta motore spento (minuti);Totale sosta acceso (minuti);Vel. massima (km/h);Lat partenza;Lon partenza;Lat arrivo;Lon arrivo
NZHE15562;NZHE15562;2024-02-06;PARK_ENGINE_OFF;Sosta a motore spento;;17:13:20;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;17:38:12;0,0;;0,0;24;0;0;43.238279;13.389484;43.238274;13.389546
NZHE15562;NZHE15562;2024-02-06;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;17:38:12;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:09:32;1,2;31;1,0;;;10;43.238274;13.389546;43.238303;13.389498
NZHE15562;NZHE15562;2024-02-06;PARK_ENGINE_OFF;Sosta a motore spento;;18:09:32;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:19:50;0,0;;0,0;10;0;0;43.238303;13.389498;43.238351;13.38948
NZHE15562;NZHE15562;2024-02-06;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:19:50;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:23:46;0,0;3;0,0;;;1;43.238351;13.38948;43.238342;13.389517
NZHE15562;NZHE15562;2024-02-06;PARK_ENGINE_OFF;Sosta a motore spento;;18:23:46;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:52:37;0,0;;0,0;28;0;0;43.238342;13.389517;43.238331;13.389497
NZHE15562;NZHE15562;2024-02-06;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:52:37;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:59:16;0,2;6;3,0;;;13;43.238331;13.389497;43.238375;13.389516
NZHE15562;NZHE15562;2024-02-06;PARK_ENGINE_OFF;Sosta a motore spento;;18:59:16;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;22:26:36;0,0;;0,0;207;0;0;43.238375;13.389516;43.238512;13.389365
NZHE15562;NZHE15562;2024-02-06;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;22:26:36;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;23:59:59;1,6;93;0,0;;;8;43.238512;13.389365;43.238413;13.389617
NZHE15562;NZHE15562;2024-02-06;Totale;;;;;;;9,5;938;0,0;501;0;16;;;;
NZHE15562;NZHE15562;2024-02-07;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;00:00:00;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;03:26:43;2,1;206;0,0;;;10;43.238338;13.389819;43.238446;13.38936
NZHE15562;NZHE15562;2024-02-07;PARK_ENGINE_OFF;Sosta a motore spento;;03:26:43;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:17:09;0,0;;0,0;170;0;0;43.238446;13.38936;43.238266;13.389597
NZHE15562;NZHE15562;2024-02-07;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:17:09;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;12:00:15;4,0;343;0,0;;;13;43.238266;13.389597;43.238209;13.389452
NZHE15562;NZHE15562;2024-02-07;PARK_ENGINE_OFF;Sosta a motore spento;;12:00:15;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;12:30:19;0,0;;0,0;30;0;0;43.238209;13.389452;43.23827;13.389355
